timestamp,source_provider,source_region,source_ip,target_provider,target_region,target_ip,success,avg_latency,min_latency,max_latency,packet_loss,error,note
2025-08-02T02:26:29.230540,AWS,ap-southeast-1,13.229.101.72,GCP,asia-east2,34.92.77.143,TRUE,43.1,42,45,0,,
2025-08-02T02:26:38.417622,AWS,ap-southeast-1,13.229.101.72,GCP,asia-northeast1,34.146.113.141,TRUE,36.3,36,38,0,,
2025-08-02T02:26:47.697734,AWS,ap-southeast-1,13.229.101.72,GCP,asia-south1,34.93.67.233,TRUE,137.7,137,138,0,,
2025-08-02T02:26:56.912867,AWS,ap-southeast-1,13.229.101.72,GCP,asia-southeast1,34.126.128.161,TRUE,77.9,77,80,0,,
2025-08-02T02:27:06.177445,AWS,ap-southeast-1,13.229.101.72,GCP,australia-southeast1,35.244.90.228,TRUE,138.3,137,140,0,,
2025-08-02T02:27:15.567920,AWS,ap-southeast-1,13.229.101.72,GCP,europe-central2,34.118.31.88,TRUE,265.9,265,268,0,,
2025-08-02T02:27:24.961680,AWS,ap-southeast-1,13.229.101.72,GCP,europe-west12,34.17.122.250,TRUE,259.4,259,261,0,,
2025-08-02T02:27:34.317584,AWS,ap-southeast-1,13.229.101.72,GCP,europe-west4,34.13.152.183,TRUE,248.3,247,251,0,,
2025-08-02T02:27:43.627099,AWS,ap-southeast-1,13.229.101.72,GCP,northamerica-northeast1,34.152.17.65,TRUE,185.8,185,187,0,,
2025-08-02T02:27:53.047996,AWS,ap-southeast-1,13.229.101.72,GCP,southamerica-east1,34.95.199.13,TRUE,287.3,286,291,0,,
2025-08-02T02:28:02.374621,AWS,ap-southeast-1,13.229.101.72,GCP,us-east4,35.245.136.40,TRUE,181.2,178,191,0,,
2025-08-02T02:28:11.642053,AWS,ap-southeast-1,13.229.101.72,GCP,us-west1,34.168.233.222,TRUE,125.8,125,128,0,,
2025-08-02T02:28:21.216919,AWS,ca-central-1,35.183.113.19,AWS,af-south-1,13.245.236.16,TRUE,425.8,425,427,0,,
2025-08-02T02:28:30.404492,AWS,ca-central-1,35.183.113.19,AWS,ap-northeast-1,57.183.18.62,TRUE,45.6,45,46,0,,
2025-08-02T02:28:39.579205,AWS,ca-central-1,35.183.113.19,AWS,ap-northeast-2,3.35.173.236,TRUE,13.1,12,23,0,,
2025-08-02T02:28:48.855662,AWS,ca-central-1,35.183.113.19,AWS,ap-south-1,3.110.78.219,TRUE,139.5,138,146,0,,
